Organisation Code,Legal Name,Business name(s),training_code,National Title,Specialisations,NRT Type,Usage Recommendation,Usage Recommendation Start Date,NRT Status,Currency Period Start Date,Currency Period End Date,Scope Extent,Scope Start Date,Scope End Date,Scope,NSW delivery approved,VIC delivery approved,QLD delivery approved,SA delivery approved,WA delivery approved,TAS delivery approved,NT delivery approved,ACT delivery approved,International delivery approved,Superseded by,Is Equivalent,Supersedes,Is Equivalent,Latest Release Number,Latest Release Date,Parent Training Package Code,Parent Training Package Title,Is Confidential,Training Package Developer,Copyright Holder,Copyright Holder Job Title,Copyright Holder Group Name,Copyright Holder Organisation,Copyright Holder Email,Recognition Manager,ANZSCO Code,ANZSCO Name,ASCO Code,ASCO Name,ASCED6 Code,ASCED6 Name,ASCED4 Code,ASCED4 Name,Taxonomy (Industry),Taxonomy (Occupation),Qualification Level Code,Qualification Level Name,Licencing,Has Work Placement Hours,Work Placement Hours,Pre-requisite
41304,PM2 Pty Ltd,ONSHIFT EDUCATION;PM SQUARED,AHCPCM204,Recognise plants,N,Unit of competency,Current,24/12/2020,Current,24/12/2020,,"Deliver and assess , Granted",29/08/2024,06/10/2029,Implicit,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,AHCPCM201,FALSE,1,24/12/2020,AHC,"Agriculture, Horticulture and Conservation and Land Management Training Package",FALSE,Skills Insight,,,,,,Skills and Workforce Ministerial Council,,,,,50301,Horticulture,,,,,,,FALSE,FALSE,,FALSE
41304,PM2 Pty Ltd,ONSHIFT EDUCATION;PM SQUARED,AHCPCM303,Identify plant specimens,N,Unit of competency,Current,27/06/2016,Current,27/06/2016,,"Deliver and assess , Granted",29/08/2024,06/10/2029,Implicit,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,AHCPCM303A,TRUE,2,19/12/2018,AHC,"Agriculture, Horticulture and Conservation and Land Management Training Package",FALSE,Skills Insight,,,,,,Skills and Workforce Ministerial Council,,,,,10903,Botany,,,,,,,FALSE,FALSE,,FALSE
41304,PM2 Pty Ltd,ONSHIFT EDUCATION;PM SQUARED,AHCPCM306,Provide information on plants and their culture,N,Unit of competency,Current,24/12/2020,Current,24/12/2020,,"Deliver and assess , Granted",29/08/2024,06/10/2029,Implicit,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,AHCPCM302,TRUE,1,24/12/2020,AHC,"Agriculture, Horticulture and Conservation and Land Management Training Package",FALSE,Skills Insight,,,,,,Skills and Workforce Ministerial Council,,,,,100799,"Communication And Media Studies, N.e.c.",,,,,,,FALSE,FALSE,,FALSE
41304,PM2 Pty Ltd,ONSHIFT EDUCATION;PM SQUARED,AHCPGD307,Implement a plant establishment program,N,Unit of competency,Current,15/02/2022,Current,15/02/2022,,"Deliver and assess , Granted",29/08/2024,06/10/2029,Implicit,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,AHCPGD301,FALSE,1,15/02/2022,AHC,"Agriculture, Horticulture and Conservation and Land Management Training Package",FALSE,Skills Insight,,,,,,Skills and Workforce Ministerial Council,,,,,50301,Horticulture,,,,,,,FALSE,FALSE,,FALSE
41304,PM2 Pty Ltd,ONSHIFT EDUCATION;PM SQUARED,AHCPGD310,Implement a landscape maintenance program,N,Unit of competency,Current,15/02/2022,Current,15/02/2022,,"Deliver and assess , Granted",29/08/2024,06/10/2029,Implicit,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,AHCPGD304,TRUE,1,15/02/2022,AHC,"Agriculture, Horticulture and Conservation and Land Management Training Package",FALSE,Skills Insight,,,,,,Skills and Workforce Ministerial Council,,,,,40105,Landscape Architecture,,,,,,,FALSE,FALSE,,FALSE
41304,PM2 Pty Ltd,ONSHIFT EDUCATION;PM SQUARED,AHCSAW201,Conduct erosion and sediment control activities,N,Unit of competency,Superseded,23/12/2020,Superseded,27/06/2016,22/12/2020,"Deliver and assess , Granted",14/06/2022,06/10/2029,Implicit,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,AHCSAW203,FALSE,AHCSAW201A,TRUE,1,27/06/2016,AHC,"Agriculture, Horticulture and Conservation and Land Management Training Package",FALSE,Skills Insight,,,,,,Skills and Workforce Ministerial Council,,,,,50999,"Environmental Studies, N.e.c.",,,,,,,FALSE,FALSE,,FALSE
41304,PM2 Pty Ltd,ONSHIFT EDUCATION;PM SQUARED,AHCSAW301,Construct conservation earthworks,N,Unit of competency,Superseded,23/12/2020,Superseded,27/06/2016,22/12/2020,"Deliver and assess , Granted",14/06/2022,06/10/2029,Implicit,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,AHCSAW303,FALSE,AHCSAW301A,TRUE,1,27/06/2016,AHC,"Agriculture, Horticulture and Conservation and Land Management Training Package",FALSE,Skills Insight,,,,,,Skills and Workforce Ministerial Council,,,,,40399,"Building, N.e.c.",,,,,,,FALSE,FALSE,,FALSE
41304,PM2 Pty Ltd,ONSHIFT EDUCATION;PM SQUARED,AHCSOL304,Implement soil improvements for garden and turf areas,N,Unit of competency,Current,21/10/2019,Current,21/10/2019,,"Deliver and assess , Granted",29/08/2024,06/10/2029,Implicit,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,AHCSOL303,TRUE,1,21/10/2019,AHC,"Agriculture, Horticulture and Conservation and Land Management Training Package",FALSE,Skills Insight,,,,,,Skills and Workforce Ministerial Council,,,,,50301,Horticulture,,,,,,,FALSE,FALSE,,FALSE
41304,PM2 Pty Ltd,ONSHIFT EDUCATION;PM SQUARED,AHCWHS302,Contribute to workplace health and safety processes,N,Unit of competency,Current,24/01/2023,Current,24/01/2023,,"Deliver and assess , Granted",29/08/2024,06/10/2029,Implicit,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,AHCWHS301,FALSE,1,24/01/2023,AHC,"Agriculture, Horticulture and Conservation and Land Management Training Package",FALSE,Skills Insight,,,,,,Skills and Workforce Ministerial Council,,,,,61301,Occupational Health And Safety,,,,,,,FALSE,FALSE,,FALSE
41304,PM2 Pty Ltd,ONSHIFT EDUCATION;PM SQUARED,AHCWRK320,Apply environmentally sustainable work practices,N,Unit of competency,Current,24/01/2023,Current,24/01/2023,,"Deliver and assess , Granted",29/08/2024,06/10/2029,Implicit,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,AHCWRK309,FALSE,1,24/01/2023,AHC,"Agriculture, Horticulture and Conservation and Land Management Training Package",FALSE,Skills Insight,,,,,,Skills and Workforce Ministerial Council,,,,,120505,Work Practices Programmes,,,,,,,FALSE,FALSE,,FALSE
